id,name,country_id,is_active
1,Badakhshan,1,1
2,Badgis,1,1
3,Baglan,1,1
4,Balkh,1,1
5,Bamiyan,1,1
6,Farah,1,1
7,Faryab,1,1
8,Gawr,1,1
9,Gazni,1,1
10,Herat,1,1
11,Hilmand,1,1
12,Jawzjan,1,1
13,Kabul,1,1
14,Kapisa,1,1
15,Khawst,1,1
16,Kunar,1,1
17,Lagman,1,1
18,Lawghar,1,1
19,Nangarhar,1,1
20,Nimruz,1,1
21,Nuristan,1,1
22,Paktika,1,1
23,Paktiya,1,1
24,Parwan,1,1
25,Qandahar,1,1
26,Qunduz,1,1
27,Samangan,1,1
28,Sar-e Pul,1,1
29,Takhar,1,1
30,Uruzgan,1,1
31,Wardag,1,1
32,Zabul,1,1
33,Berat,3,1
34,Bulqize,3,1
35,Delvine,3,1
36,Devoll,3,1
37,Dibre,3,1
38,Durres,3,1
39,Elbasan,3,1
40,Fier,3,1
41,Gjirokaster,3,1
42,Gramsh,3,1
43,Has,3,1
44,Kavaje,3,1
45,Kolonje,3,1
46,Korce,3,1
47,Kruje,3,1
48,Kucove,3,1
49,Kukes,3,1
50,Kurbin,3,1
51,Lezhe,3,1
52,Librazhd,3,1
53,Lushnje,3,1
54,Mallakaster,3,1
55,Malsi e Madhe,3,1
56,Mat,3,1
57,Mirdite,3,1
58,Peqin,3,1
59,Permet,3,1
60,Pogradec,3,1
61,Puke,3,1
62,Sarande,3,1
63,Shkoder,3,1
64,Skrapar,3,1
65,Tepelene,3,1
66,Tirane,3,1
67,Tropoje,3,1
68,Vlore,3,1
71,Adrar,4,1
117,al-Aghwat,4,1
118,al-Bayadh,4,1
119,al-Jaza\'ir,4,1
120,al-Wad,4,1
72,Algiers,4,1
73,Annabah,4,1
121,ash-Shalif,4,1
122,at-Tarif,4,1
74,Bashshar,4,1
75,Batnah,4,1
76,Bijayah,4,1
77,Biskrah,4,1
78,Blidah,4,1
79,Buirah,4,1
80,Bumardas,4,1
81,Burj Bu Arririj,4,1
82,Ghalizan,4,1
83,Ghardayah,4,1
84,Ilizi,4,1
85,Jijili,4,1
86,Jilfah,4,1
87,Khanshalah,4,1
88,Masilah,4,1
89,Midyah,4,1
90,Milah,4,1
91,Muaskar,4,1
92,Mustaghanam,4,1
93,Naama,4,1
94,Oran,4,1
95,Ouargla,4,1
96,Qalmah,4,1
97,Qustantinah,4,1
98,Sakikdah,4,1
99,Satif,4,1
100,Sayda\',4,1
101,Sidi ban-al-\'Abbas,4,1
102,Suq Ahras,4,1
103,Tamanghasat,4,1
104,Tibazah,4,1
105,Tibissah,4,1
106,Tilimsan,4,1
107,Tinduf,4,1
108,Tisamsilt,4,1
109,Tiyarat,4,1
110,Tizi Wazu,4,1
111,Umm-al-Bawaghi,4,1
112,Wahran,4,1
113,Warqla,4,1
114,Wilaya d Alger,4,1
115,Wilaya de Bejaia,4,1
116,Wilaya de Constantine,4,1
69,\'Ayn Daflah,4,1
70,\'Ayn Tamushanat,4,1
123,Eastern,5,1
124,Manu\'a,5,1
125,Swains Island,5,1
126,Western,5,1
127,Andorra la Vella,6,1
128,Canillo,6,1
129,Encamp,6,1
130,La Massana,6,1
131,Les Escaldes,6,1
132,Ordino,6,1
133,Sant Julia de Loria,6,1
134,Bengo,7,1
135,Benguela,7,1
136,Bie,7,1
137,Cabinda,7,1
138,Cunene,7,1
139,Huambo,7,1
140,Huila,7,1
141,Kuando-Kubango,7,1
142,Kwanza Norte,7,1
143,Kwanza Sul,7,1
144,Luanda,7,1
145,Lunda Norte,7,1
146,Lunda Sul,7,1
147,Malanje,7,1
148,Moxico,7,1
149,Namibe,7,1
150,Uige,7,1
151,Zaire,7,1
152,Other Provinces,8,1
153,Sector claimed by Argentina/Ch,9,1
154,Sector claimed by Argentina/UK,9,1
155,Sector claimed by Australia,9,1
156,Sector claimed by France,9,1
157,Sector claimed by New Zealand,9,1
158,Sector claimed by Norway,9,1
159,Unclaimed Sector,9,1
160,Barbuda,10,1
161,Saint George,10,1
162,Saint John,10,1
163,Saint Mary,10,1
164,Saint Paul,10,1
165,Saint Peter,10,1
166,Saint Philip,10,1
167,Buenos Aires,11,1
168,Catamarca,11,1
169,Chaco,11,1
170,Chubut,11,1
171,Cordoba,11,1
172,Corrientes,11,1
173,Distrito Federal,11,1
174,Entre Rios,11,1
175,Formosa,11,1
176,Jujuy,11,1
177,La Pampa,11,1
178,La Rioja,11,1
179,Mendoza,11,1
180,Misiones,11,1
181,Neuquen,11,1
182,Rio Negro,11,1
183,Salta,11,1
184,San Juan,11,1
185,San Luis,11,1
186,Santa Cruz,11,1
187,Santa Fe,11,1
188,Santiago del Estero,11,1
189,Tierra del Fuego,11,1
190,Tucuman,11,1
191,Aragatsotn,12,1
192,Ararat,12,1
193,Armavir,12,1
194,Gegharkunik,12,1
195,Kotaik,12,1
196,Lori,12,1
197,Shirak,12,1
198,Stepanakert,12,1
199,Syunik,12,1
200,Tavush,12,1
201,Vayots Dzor,12,1
202,Yerevan,12,1
203,Aruba,13,1
204,Auckland,14,1
